FIPS,stateAB,stateFull,region,regionNum,division,divisionNum,Percent00,Num00,Percent10,Num10,Percent01,Num01,Percent11,Num11,gapPercent
,US,United States,United States,0,United States,0,0.891990103,126977873,0.797915996,11287350,0.692369581,14173596,0.562067809,3037501,0.329922294
2,AK,Alaska,West,4,Pacific,9,0.892358082,317128,0.786201992,27635,0.630768622,15937,0.554524362,3824,0.33783372
1,AL,Alabama,South,3,East South Central,6,0.831902988,1650221,0.721909053,208618,0.597832761,202529,0.482865723,56278,0.349037265
5,AR,Arkansas,South,3,West South Central,7,0.828538901,966484,0.694554136,130331,0.621151233,127982,0.462971281,32983,0.36556762
4,AZ,Arizona,West,4,Mountain,8,0.880071363,2412713,0.819659153,214313,0.639468616,326074,0.540428526,56070,0.339642837
6,CA,California,West,4,Pacific,9,0.903352894,15930846,0.82925582,1143193,0.731664036,1998912,0.643422789,306719,0.259930106
8,CO,Colorado,West,4,Mountain,8,0.917523853,2315788,0.853089716,191383,0.779819088,225094,0.621086716,39321,0.296437137
9,CT,Connecticut,Northeast,1,New England,1,0.925941686,1610270,0.845302364,111798,0.746812386,118080,0.577941351,19472,0.348000335
11,DC,District of Columbia,South,3,South Atlantic,5,0.904810357,292565,0.719983793,15993,0.711913657,37730,0.419739526,5350,0.485070831
10,DE,Delaware,South,3,South Atlantic,5,0.89017522,375386,0.787853189,35440,0.696587613,33866,0.610579889,7918,0.279595331
12,FL,Florida,South,3,South Atlantic,5,0.887754183,7419339,0.825400376,686294,0.711901502,978095,0.617821436,187363,0.269932747
13,GA,Georgia,South,3,South Atlantic,5,0.877984321,3791527,0.797996301,366321,0.667970574,503575,0.530006868,97234,0.347977453
15,HI,Hawaii,West,4,Pacific,9,0.923396751,620964,0.871687325,41773,0.782518053,51798,0.658104227,8019,0.265292524
19,IA,Iowa,Midwest,2,West North Central,4,0.898885496,1246498,0.818767293,104758,0.765201204,113865,0.632208023,29832,0.266677472
16,ID,Idaho,West,4,Mountain,8,0.88901961,599233,0.802167045,57894,0.797152234,78938,0.580835919,15912,0.308183691
17,IL,Illinois,Midwest,2,East North Central,3,0.899558012,5385688,0.802055651,401408,0.704744745,546032,0.564889919,99450,0.334668093
18,IN,Indiana,Midwest,2,East North Central,3,0.873135927,2462390,0.785457756,262445,0.658075635,265752,0.552614863,73080,0.320521063
20,KS,Kansas,Midwest,2,West North Central,4,0.89406102,1152197,0.794466403,103113,0.752206342,115575,0.561026492,22321,0.333034528
21,KY,Kentucky,South,3,East South Central,6,0.873303904,1571768,0.764190952,205063,0.670431552,198138,0.58107487,75857,0.292229034
22,LA,Louisiana,South,3,West South Central,7,0.835085711,1615247,0.719969958,178302,0.577947265,199067,0.457033886,46734,0.378051825
25,MA,Massachusetts,Northeast,1,New England,1,0.938475947,3035248,0.851375952,224948,0.810661296,251168,0.608365247,60842,0.3301107
24,MD,Maryland,South,3,South Atlantic,5,0.920351324,2705381,0.827104934,201429,0.729510562,174434,0.574780787,37036,0.345570537
23,ME,Maine,Northeast,1,New England,1,0.909688127,536031,0.832156967,69089,0.743420035,48074,0.623938403,18881,0.285749725
26,MI,Michigan,Midwest,2,East North Central,3,0.894549322,3809797,0.790281386,399149,0.732090121,470507,0.564371317,126913,0.330178004
27,MN,Minnesota,Midwest,2,West North Central,4,0.920041025,2390653,0.820423504,163928,0.78398658,189742,0.634328688,43102,0.285712337
29,MO,Missouri,Midwest,2,West North Central,4,0.881711349,2301070,0.785195179,236288,0.696858049,252310,0.569991668,76616,0.311719682
28,MS,Mississippi,South,3,East South Central,6,0.791323266,877295,0.68050272,123073,0.557579526,147080,0.428347832,37767,0.362975434
30,MT,Montana,West,4,Mountain,8,0.900505756,385303,0.813070279,40099,0.700706395,48903,0.510245213,9114,0.390260543
37,NC,North Carolina,South,3,South Atlantic,5,0.877486318,3727561,0.760971577,355306,0.672268639,462902,0.528806451,105655,0.348679867
38,ND,North Dakota,Midwest,2,West North Central,4,0.918943661,316203,0.899187299,23788,0.772263689,27108,0.531634599,3067,0.387309062
31,NE,Nebraska,Midwest,2,West North Central,4,0.893358661,758583,0.80724745,56672,0.683748992,66978,0.58576295,11693,0.307595711
33,NH,New Hampshire,Northeast,1,New England,1,0.936340088,610181,0.870214617,54009,0.819436608,40667,0.702802046,13193,0.233538043
34,NJ,New Jersey,Northeast,1,Middle Atlantic,2,0.932446734,4032682,0.864608019,289680,0.726664555,300555,0.623460751,50529,0.308985983
35,NM,New Mexico,West,4,Mountain,8,0.827323997,662483,0.721930321,80379,0.571737438,108685,0.505877683,22937,0.321446315
32,NV,Nevada,West,4,Mountain,8,0.896357939,1116663,0.831291446,122475,0.717230652,133255,0.6476093,26574,0.248748639
36,NY,New York,Northeast,1,Middle Atlantic,2,0.909542889,8363889,0.827763234,591907,0.740016925,961911,0.586655353,167310,0.322887536
39,OH,Ohio,Midwest,2,East North Central,3,0.892873728,4533786,0.791598719,439308,0.711284739,482399,0.557153841,131885,0.335719887
40,OK,Oklahoma,South,3,West South Central,7,0.849830887,1357819,0.751093112,165251,0.656906486,153567,0.550881852,43978,0.298949036
41,OR,Oregon,West,4,Pacific,9,0.919779342,1574298,0.844014234,173385,0.821169228,213954,0.70311964,61485,0.216659702
42,PA,Pennsylvania,Northeast,1,Middle Atlantic,2,0.90474568,5225745,0.803348093,459201,0.713012957,466416,0.560435984,127414,0.344309696
44,RI,Rhode Island,Northeast,1,New England,1,0.920752241,448968,0.831260429,37361,0.717410134,43069,0.529615245,8727,0.391136996
45,SC,South Carolina,South,3,South Atlantic,5,0.851892111,1697539,0.756424062,188957,0.612565415,211049,0.523305923,51610,0.328586188
46,SD,South Dakota,Midwest,2,West North Central,4,0.905700547,332249,0.784839635,30637,0.727647656,32993,0.530993399,6596,0.374707148
47,TN,Tennessee,South,3,East South Central,6,0.855523449,2349927,0.749857945,275809,0.626524577,271792,0.491890105,80335,0.363633345
48,TX,Texas,South,3,West South Central,7,0.866242677,10057793,0.780194768,882632,0.636656061,1130740,0.522365906,207992,0.343876771
49,UT,Utah,West,4,Mountain,8,0.930519645,1185469,0.858901264,93853,0.797574044,121315,0.675765714,19879,0.254753931
50,VA,Vermont,Northeast,1,New England,1,0.906422046,3602501,0.806067005,271036,0.703564632,274685,0.55847492,59133,0.347947125
51,VT,Virginia,South,3,South Atlantic,5,0.898987789,258272,0.810484008,23795,0.768981781,24945,0.694224541,7717,0.204763248
53,WA,Washington,West,4,Pacific,9,0.921760609,2989136,0.865634223,284508,0.778726981,305736,0.662868522,76558,0.258892087
55,WI,Wisconsin,Midwest,2,East North Central,3,0.895568389,2375162,0.832709794,207886,0.733307988,219889,0.62132866,55658,0.274239729
54,WV,West Virginia,South,3,South Atlantic,5,0.862344221,631762,0.722110869,100876,0.702889367,82638,0.582855747,35799,0.279488474
56,WY,Wyoming,West,4,Mountain,8,0.902260277,247213,0.827158917,25900,0.761633011,17350,0.599038312,3862,0.303221964
